id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx
,,Judaea et Jerusalem nolite,003511,8,,,F-Pn lat. 15181,1,140r,,,,feast_1765,genre_a,office_l,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum alleluia,,1---g--g--gfd---e---f--gh--hg--g---g--g--hj---g7--hg--f---kkj---h--hl--k--kj--hg--g---g7---gh--fe--d---f--gh---h--g--gfd---fe--fg--g--g7---4---k--k--j--k--h--g---3,,,
,,Judaea et Jerusalem nolite,003511,8,,,NL-Uu 406,1,020v,,,,feast_1765,genre_a,office_l,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum alleluia,,1---g--g--gfd---e---f--gh--h--g---g--g--hk---g--ghgf--f---kkj---h--hl--k--kk--hg--g---g---gh--fe--d---ef--gh---h--g--gfd---6------6---4,,,
,,Judaea et Jerusalem nolite,003511,Gc,,,I-Rvat SP B.79,1,024v,,,,feast_1765,genre_a,office_l,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---g--ghg--g---h---f--h--jh--gh---h--g--h---g--fgf--f---kl---k--klk--jh--kj--hg--g---g---h--g--f---d--f7---h--gf--g---4---g--h--k---3---k--k--jh--kj--hg--g---3,,,
,,Judaea et Jerusalem nolite,605019,3,,,F-Pn lat. 12044,,007v,,,,feast_1765,genre_r,office_v2,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---f--dff--f---f---f--fe--de--e-ghd-ffe---ce--ge-fede--ceg---f--fh-hgh--e---3---de---g--f--h--hij--h--h---3---hg---hhge-fed-fgh--gh--h---hhgf-gfedcd7-dfgfede-eg-hhg-hgf-gfed-hhfg--gf---df--egff--fe---4,,,
,,Judaea et Jerusalem nolite,605019,4,,,CH-E 611,,017r,,,,feast_1765,genre_r,office_v2,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---fe--de--e7---e---e--fe--de--eg-hd-fe---de--gf-fe--de-ceg---f--ghgh--fe---de---g--e--eh--hk--h--h---3---hg---hhge-fed-fgh7--gh--h---hhge-fdcd-defgfede-egh-hg-hgf-gfed-hhfg--gf---df--ef-gfg--fe---4,,,
,,Judaea et Jerusalem nolite,605019,4,,,D-KA Aug. LX,,016r,,,,feast_1765,genre_r,office_v2,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---fe--de--e---e---e--fe--df--eg-hd-efe---ce--gfede--ceg---f--ghgh--fe---3---de---g--e--eh--hk--h--h---hhg---hhgefed-fgh-gh--gh--hh7---hhgefdcd-defg-gfede-egh-hf-gfed-hhfg-gf--fe---df--egff--fe---4,,,
,,Judaea et Jerusalem nolite,605019,4,,,F-Pn lat. 15181,3,140r,,,,feast_1765,genre_r,office_m,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---f--dff--f---f---f--fe--de--eg-hd-ffe7---ce--ge-fed--ceg---g--fhhgh--e---de---g--e7--h--hj--h--h---hg---hhge-fed-fgh--gh--h7---hf-gfecd-dfgfe-de-eg-hhg-hgf-gfd-hhfg--gf---df--efg7--fe---4,,,
,,Judaea et Jerusalem nolite,605019,4,,,NL-Uu 406,,021r,,,,feast_1202,genre_r,office_v,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---f--dee--e---f---f--fe--de--eggh-ddf---de--gff--dde---cegg-f--ghhg-h--e---3---de---g--e--h--hk--h--h---hg---hhgefed--fgghhg-gh--h---hhge-fdc-d-df-gfede-eghhg-hgfede-hhhf-g7--gfef---df--eefgef--fe---4,,,
,,Judaea et Jerusalem nolite,605019,4,,,PL-WRu R 503,,015r,,,,feast_1202,genre_r,office_v,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---fe--df--f---f---f--fe--df--ef-ghd-ffe7---c-e--gfe--de-ce-fg---,,,
,,Judaea et Jerusalem*,003511,*,,,I-Ac 693,,016r,,,,feast_1765,genre_a,office_p,,,,Judaea et Jerusalem*,,1---6------6---3,,,
,,Judaea et Jerusalem*,003511,*,,,NL-Uu 406,,020v,,,,feast_1765,genre_a,office_p,,,,Judaea et Jerusalem*,,1---g--g--gfd---e---f---3,,,
,,Judaea et Jerusalem*,003511,,,,CZ-PLm 504 C 004,,009r,,,,feast_1765,genre_a,office_v,,,,Judaea et Jerusalem*,,1---g--g--g-f-e-d---f---f--gh--h--g---5,,,
,,Judaea et Jerusalem*,003511,8,,,NL-Uu 406,1,020v,,,,feast_1202,genre_a,office_v,,,,Judaea et Jerusalem*,,1---g--g--gfd---e---f--gh--h--g---4---g--h--k---k--k--k---3,,,
,,Judaea et Jerusalem*,605019,,,,CZ-PLm 504 C 004,,009v,,,,feast_1765,genre_r,office_v,,,,Judaea et Jerusalem*,,1---fe--de--e---7e---ef--e--df---3---egeffe---5,,,
,,Judaea et Jerusalem,605019,,,,CH-SG 545,2,047v,,,,feast_1202,genre_r,office_v,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---efe--de--e---e---e--fe--df--e,,,
,,Levate capita vestra,003608,,,,CH-SG 545,4,047r,,,,feast_1202,genre_a,office_v,,,,Levate capita vestra ecce appropinquabit redemptio nostra,,1---d--c--d---ef--g--fe---d--d---f--h---g--h--gf--g--g---d--dc--f--e---d--d---3,,,
,,Magnificat anima mea dominum,g01598,8,,,I-Pc C55,,038v,,,,feast_0067,genre_ca,office_x,,,,Magnificat anima mea dominum | Et exsultavit spiritus meus in deo salutari meo | Quia respexit humilitatem ancillae suae ecce enim ex hoc beatam me dicent omnis generationes,,1---g--hgk--k--lk---k--k--k---j--k----h--h7--g---3---g---hg--gk--k--k---kj--kl--l---kl--k7---h---k--k---k--k--j--k---h--g---3---g--hg---gk--k7--k---k--k--k--k--k---kj--kl--l---kl--k---h--k---k7--k---k---k---k--k--j---h---k--k---k--k77---k--k--j--k--h--g7---3,,,
,,Magnificatus est rex pacificus super omnes ,003670,,,,CZ-Pn XII A 24,4,029r,,,,feast_1765,genre_a,office_v,,,,Magnificatus est rex pacificus super omnes reges universe terrae,,1---g--j--k--l--k---h---k---k--g--g--g---k--k---7jj--g---hk--j---k--kh--j--h---g--g---5,,,
,,O Juda et Jerusalem nolite ,003511,8,,,A-Wn 1799**,,016r,,,,feast_1765,genre_a,office_l,,,,O Juda et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum alleluia,,1---g---g--gfd---e---f--gh--h--g---g--g--hj---g--ghgf--f---kkj---h--hl--k--j--h--g---g---gh--fe--d7---ef--gh---h--g--gfd---fe--fg--g--g---4---k--k--j--k--h--g---3,,,
,,O Juda et Jerusalem nolite ,003511,8,,,CDN-Hsmu M2149.L4,,030r,,,,feast_1765,genre_a,office_l,,,,O Juda et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum alleluia,,1---g---g--gfd---e---f--gh--h--g---g--g--hj---g--ghgf--f7---kkj---h--hl--j--h--g---g---gh--fe--d---ef--gh---h--g--gfd77---fe--fg--g--g---4---k--k--j--k--h--g---34,,,
,,O Juda et Jerusalem nolite ,003511,8,,,D-KNd 1161,,016v,,,,feast_1765,genre_a,office_l,,,,O Juda et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum alleluia,,1---g---g--gfd---e---f--gh--h--g---g--g--hj---h--ghgf--f---kkj---h--hl--k--j--h7--g---g---gh--fe--d---ef--gh---h--g--gfd---fe--fg--g--g---4---k--k--j--k--h--g---3,,,
,,O Juda et Jerusalem nolite ,605019,4T,,,A-Wn 1799**,,016v,,,,feast_1202,genre_r,office_v,,,,O Juda et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---k---hkk--k---k---k--kj--hj--jlmhk-kj---gj--lj-kjhj--gjl---l--klmlm7--j---3---hj---k--h--m--mn--m--m---ml---mmlj-kjh-klm--lm--m---mmlk-lkjhgh-hklkjhj-jlm-ml-mlk-hm-mkl--lk-kj---hk--jlkk--kj77---4,,,
,,O Juda et Jerusalem nolite ,605019,4T,,,CDN-Hsmu M2149.L4,,031v,,,,feast_1202,genre_r,office_v,,,,O Juda et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---k---hkk--k---k---k--kj--hj--jlmh7-kkj---gj--lj-kjh-j--jl---l--klm-mlm--j---3---hj---k--h--m--mn--m--m7---ml---mmlj-kjh-klm--lm--m---mmlk-lkjhgh-hklkjhj-jlm-mlmlk-hm-mkl7--lk-kj---hk--jlkk--kj---4,,,
,,O Juda et Jerusalem nolite ,605019,4T,,,D-KNd 1161,,017r,,,,feast_1202,genre_r,office_v,,,,O Juda et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum,,1---k---hkk--k---k---k--kj--hj--jl-mh-kkj---gj--khjhgh--gjl---l--kl-mmlm--j---hj---k--h7--m--mn--m--m---ml---mlj-kjh-klm--lm--m---mmlk-lkjhgh-hklkj-hj-jlm-mlmlk-hm-mmkl77--lkk---hk--jklkl--kj---4,,,
