"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.0828529098591454 -2.49068841370888
"consest" "solesmes" 5.55263044135171e-06 -12.1012387890897
"cumesset" "ancstate" 0.0470885981247598 -3.05572438529596
"cumesset" "solesmes" 3.61236723967681e-54 -123.055231719178
"judjer1" "ancstate" 0.103381905882564 -2.26932532368516
"judjer1" "solesmes" 1.34254089334411e-24 -54.9674782243286
"judjer2" "ancstate" 5.87840337893553e-09 -18.9519806461026
"judjer2" "solesmes" 2.23553264553514e-71 -162.679062082756
"orisic" "ancstate" 0.31805764986581 -1.14552262374661
"orisic" "solesmes" 3.36880093592384e-06 -12.6009536822776
