"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.2537572213685 -1.371377290436
"consest" "solesmes" 6.05384566261148e-06 -12.0148168411467
"cumesset" "ancstate" 0.252328350831374 -1.37702406012225
"cumesset" "solesmes" 4.78880565892862e-42 -95.1422928659336
"judjer1" "ancstate" 0.287006191753145 -1.24825148940246
"judjer1" "solesmes" 3.40154531080018e-26 -58.6429825863018
"judjer2" "ancstate" 2.1133690853588e-08 -17.6723973469522
"judjer2" "solesmes" 4.6289848889166e-65 -148.135693447007
"orisic" "ancstate" 0.390370070235115 -0.940660091738835
"orisic" "solesmes" 1.58398435754381e-06 -13.3555671399088
