"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.241522028965521 -1.42079459280101
"consest" "solesmes" 6.57335416847422e-05 -9.62990123482269
"cumesset" "ancstate" 0.452871439053924 -0.792146992775619
"cumesset" "solesmes" 1.31215919926068e-18 -41.1748576498322
"judjer1" "ancstate" 0.919890836506092 -0.0835002719508672
"judjer1" "solesmes" 0.920811648154246 -0.0824997716172837
"judjer2" "ancstate" 0.0179144197481991 -4.02214931790973
"judjer2" "solesmes" 1.17295123134216e-27 -62.0102745180406
"orisic" "ancstate" 0.495993713731657 -0.701192026265635
"orisic" "solesmes" 0.488120797640678 -0.717192367612076
