"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.0818505527197842 -2.50286022234987
"consest" "solesmes" 6.26886343158636e-09 -18.8876707696125
"cumesset" "ancstate" 0.000180398416092684 -8.62034273034833
"cumesset" "solesmes" 7.9107721117583e-26 -57.7989870287234
"judjer1" "ancstate" 0.0307779625218302 -3.48095634763469
"judjer1" "solesmes" 8.41484733021937e-18 -39.3165339889911
"judjer2" "ancstate" 3.43402461124375e-06 -12.5817776285829
"judjer2" "solesmes" 8.6606497749509e-33 -73.8265183172944
"orisic" "ancstate" 0.189841994626279 -1.66156316002888
"orisic" "solesmes" 5.30368551518207e-13 -28.2652042498063
