"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.068367322164231 -2.68286031464765
"consest" "solesmes" 8.56841794032977e-13 -27.78552309775
"cumesset" "ancstate" 3.56859049439597e-05 -10.2407547666373
"cumesset" "solesmes" 9.42962610766347e-33 -73.7414516221845
"judjer1" "ancstate" 0.00246578620486407 -6.00524457513381
"judjer1" "solesmes" 1.47762632138011e-17 -38.7535096175513
"judjer2" "ancstate" 2.46202542282314e-06 -12.9145262041696
"judjer2" "solesmes" 3.69145313925672e-27 -60.8637773256309
"orisic" "ancstate" 0.0955742834129561 -2.34785149706882
"orisic" "solesmes" 6.82048140079394e-09 -18.8033357809555
