"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.0537667594152192 -2.923099857501
"consest" "solesmes" 1.12003570037616e-08 -18.3073201838175
"cumesset" "ancstate" 0.00175946584504674 -6.34274501312918
"cumesset" "solesmes" 2.21899531364591e-17 -38.3468920488722
"judjer1" "ancstate" 0.0583176026464468 -2.84185129901199
"judjer1" "solesmes" 6.76102227976933e-19 -41.8379426634474
"judjer2" "ancstate" 0.000541953151675004 -7.52033099628441
"judjer2" "solesmes" 6.17167700363163e-25 -55.7446567242485
"orisic" "ancstate" 0.167686033098278 -1.78566189866443
"orisic" "solesmes" 5.68350502876206e-13 -28.1960380839781
