"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.00521031294579721 -5.25711535864895
"consest" "solesmes" 3.61528537741982e-11 -24.0432652278615
"cumesset" "ancstate" 1.86626946843886e-06 -13.1915690562981
"cumesset" "solesmes" 3.25398261097683e-42 -95.5286942408589
"judjer1" "ancstate" 0.000164224748684205 -8.71427464950078
"judjer1" "solesmes" 1.77627320194203e-11 -24.7539185602728
"judjer2" "ancstate" 1.87989884603117e-07 -15.4868776808666
"judjer2" "solesmes" 1.00589463990014e-15 -34.5328990604275
"orisic" "ancstate" 0.0218500945280091 -3.82355003122522
"orisic" "solesmes" 2.00656526794091e-05 -10.8165010265208
