"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.180942529688482 -1.70957581366829
"consest" "solesmes" 6.04592382735013e-06 -12.0161262605368
"cumesset" "ancstate" 0.224259294172029 -1.49495233331889
"cumesset" "solesmes" 2.13375365051147e-35 -79.8325955488234
"judjer1" "ancstate" 0.250707761995954 -1.38346731300498
"judjer1" "solesmes" 0.161654238283679 -1.82229555626372
"judjer2" "ancstate" 0.0133257524697574 -4.31805683999874
"judjer2" "solesmes" 2.30539299659899e-13 -29.0983550495671
"orisic" "ancstate" 0.309945593600861 -1.17135850141902
"orisic" "solesmes" 3.13703450369877e-06 -12.6722326298686
