"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.0984340565868644 -2.31836843127889
"consest" "solesmes" 0.000488217562190246 -7.62474942730085
"cumesset" "ancstate" 0.00303429840264749 -5.79777505000897
"cumesset" "solesmes" 7.83228648729707e-29 -64.7167132131954
"judjer1" "ancstate" 0.181534087591807 -1.70631183248822
"judjer1" "solesmes" 4.53621678164653e-23 -51.4473637822113
"judjer2" "ancstate" 2.5244340025278e-06 -12.8894936777787
"judjer2" "solesmes" 1.56376336088475e-31 -70.933042555922
"orisic" "ancstate" 0.38326869558061 -0.959018980735435
"orisic" "solesmes" 3.10693965454208e-07 -14.9844574431557
