"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.264402629130052 -1.33028222729439
"consest" "solesmes" 7.68552779607019e-06 -11.7761715045981
"cumesset" "ancstate" 0.358572820786895 -1.02562351324654
"cumesset" "solesmes" 3.79569749625421e-27 -60.8359293234002
"judjer1" "ancstate" 0.766579216574327 -0.265817237576785
"judjer1" "solesmes" 2.52065025771924e-23 -52.0349402318485
"judjer2" "ancstate" 0.00198593873881723 -6.22166356035193
"judjer2" "solesmes" 8.5790990230801e-47 -106.072170471699
"orisic" "ancstate" 0.102441851109181 -2.27845994763464
"orisic" "solesmes" 2.74685471912405e-14 -31.2257347833065
