"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.0185331621453378 -3.98819360319872
"consest" "solesmes" 1.39523503526687e-11 -24.9953731377907
"cumesset" "ancstate" 2.78164227164489e-05 -10.4898839664929
"cumesset" "solesmes" 6.14032624681856e-32 -71.867845100401
"judjer1" "ancstate" 0.000355937498307378 -7.94075540907816
"judjer1" "solesmes" 1.26857314681551e-09 -20.4853730745269
"judjer2" "ancstate" 0.000269294249819378 -8.21970591069783
"judjer2" "solesmes" 3.41896908720727e-18 -40.2171926047485
"orisic" "ancstate" 0.0895197977380878 -2.41329547438576
"orisic" "solesmes" 2.55629058646549e-09 -19.7847086189176
