"melody" "type" "prob" "logprob"
"consest" "ancstate" 0.156531589165344 -1.85449744166856
"consest" "solesmes" 0.00069088682466232 -7.27753453246997
"cumesset" "ancstate" 0.000306513685638631 -8.09024815223532
"cumesset" "solesmes" 3.36364863578977e-27 -60.956771222522
"judjer1" "ancstate" 0.000444021611316269 -7.71963732258085
"judjer1" "solesmes" 4.53117730547709e-09 -19.2122840403834
"judjer2" "ancstate" 0.00683614058529769 -4.98553194850759
"judjer2" "solesmes" 5.85979166704572e-19 -41.9810027156286
"orisic" "ancstate" 0.106470702779156 -2.23988542295273
"orisic" "solesmes" 6.03008818376582e-07 -14.3213340161527
