id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx
,,Judaea et Jerusalem,007040,4,,,Sol AntM 1934,,,,,,feast_1765,genre_r,office_v,,,,Judaea et Jerusalem nolite timere cras egrediemini et Dominus erit vobiscum,,1---f--de--e---e---e--fe--de--eg--hd-f-fe---ce--gf-fe--de-c-eg---f--fh-hgh--e---de---g--e--gh--hj--h--h---h---h-hge-fed-fgh--gh--h---h-hge-fedc-d-dfg-f-d-e-egh-hg-hgf-gfd-h-hfg--gf---de--egf-f--fe---5,,,
,,Constantes estote videbitis,007040a,4,,,Sol AntM 1934,,,,,,feast_1765,genre_v,office_v,,,,Constantes estote videbitis auxilium Domini super vos,,1---dh--h--gfe---de--efgh--g---hj--h--gf--gh---g--de--efgh--de---g--fe--d---d--fh---hghe-dec-de---5,,,
,,Cum esset desponsata,002000,8,,,Sol AntM 2005,,,,,,feast_0444,genre_a,office_v,,,,Cum esset desponsata mater Iesu Maria Ioseph antequam convenirent inventa est in utero habens quod enim in ea natum est de Spiritu Sancto est alleluia,,1---g---gfd--ef---gh--h--g--g---f--h--k--kj---hg--h--ge---fg--f---f--hk--kj---kl--kj--ghgf--f---fg--f--gh---hkjh-h---g---h--g--ef---gh--g---d---dgf-gh--g---g---gh--gf---g--gh---h---hkh---g--h--gf---e--fg---gh---j--hj--g--g---4---k-k-j-k-h-g---5,,,
,,Orietur sicut sol,004195,8,,,Sol AntM 1934,,,,,,feast_1765,genre_a,office_v,,,,Orietur sicut sol Salvator mundi et descendet in uterum Virginis sicut imber super gramen alleluia,,1---g--gd--fg--ghg-g---f--ghg---h-h---f--h--hkj---gh--g---f---g--h--g---f---g--fe--d---f--e--def---c--d---fg--g-gf---h--jk---hg--f---gh--h--g--g---4---k-k-j-k-h-g---5,,,
,,Judaea et Jerusalem,003511,8,,,Sol LibAnt 1960,,,,,,feast_1765,genre_a,office_v,,,,Judaea et Jerusalem nolite timere cras egrediemini et Dominus erit vobiscum,,1---g--g--gfd---e---f--gh--h--g---g--g--hj---g--ghgf--f---kkj---h--hl--k--j--h--g---g---gh--fe--d---ef--gh---h--g--gfd---f--fg--g--g---4---k-k-j-k-h-ghg---5,,,
