id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx
,,Cum esset desponsata mater,002000,8,,,A-Wn 1799**,M,017r,,,,feast_1202,genre_a,office_v,,,,Cum esset desponsata mater Jesu Maria Joseph antequam convenirent inventa est in utero habens quod enim in ea natum est de spiritu sancto est alleluia,,g---ge-fd--efg---g--gh--hg--f---g--hk---kkj--hg---h--h--hg---fg--g---f--hk--kl---lk-kj--hk-kj--ghgf--f---g--hk--k---kj---h---ghg--fe--fg---g--g---g---gfd--e---fg---h--g---hhgf--gh---h---h---h--g--hk-kj---h--hg---hjhg-hg---fe--fg--g--g,,,
,,Cum esset desponsata mater,002000,8,,,CDN-Hsmu M2149.L4,M,032r,,,,feast_1202,genre_a,office_v,,,,Cum esset desponsata mater Jesu Maria Joseph antequam convenirent inventa est in utero habens quod enim in ea natum est de spiritu sancto est alleluia,,g---gfefd--efg---g--gh--hhg--f---g--hk---kkj--hg---h--h--hhg---fg--g---f--hk--kl---lk-kj--hk-kj--ghgf--f---g--hk--k---kj---h---ghg--fe--fg---g--g---g---gfd--e---fg---gh--g---hhgf--gh---h---h---h--g--hk-kj---h--hg---hjhg-hg---fe--fg--g--g,,,
,,Cum esset desponsata mater,002000,8,,,CH-E 611,1M,017r,,,,feast_1765,genre_a,office_v2,,,,Cum esset desponsata mater Jesu Maria Joseph antequam convenirent inventa est in utero habens quod enim in ea natum est de spiritu sancto est alleluia,,g---gfd--efg---g--g--hg--f---g--h---kj--hg---h--h--hg---fg--g---g--gk--klk---lkk--hkj--ghgf--f---f--g--h---hjkj---h---ghgf--fe--fgf---g--g---g---gfd--e---f---gh--g---ghgf--g---h---h---h--g--hjkjhg---g--gh---hkhg-hg---e--fg--g--g,,,
,,Cum esset desponsata mater,002000,8,,,D-KA Aug. LX,M,016r,,,,feast_1765,genre_a,office_v2,,,,Cum esset desponsata mater Jesu Maria Joseph antequam convenirent inventa est in utero habens quod enim in ea natum est de spiritu sancto est alleluia,,g---gfd--efg---g--g--hg--f---g--h---kj--hg---h--h--hg---fg--g---g--gkj--kl---lkkj--hkj--ghgf--f---f--g--h---hkj---h---ghg--fe--fgf---g--g---g---gfd--f---f---gh--g---ghgf--g---h---h---h--g--hk-kjhg---f--gh---hjkhg---e--fg--g--g,,,
,,Cum esset desponsata mater,002000,8,,,D-KNd 1161,M,017v,,,,feast_1202,genre_a,office_v,,,,Cum esset desponsata mater Jesu Maria Joseph antequam convenirent inventa est in utero habens quod enim in ea natum est de spiritu sancto est alleluia,,g---ge-fd--efg---g--gh--hhg--f---g--hk---kkj--hg------h--h--hg---fg--g---f--hk--kl---lk-kj--hkkj--ghgf--f---g--hk--k---kj---h---ghg--fe--fg---g--g---g---gfd--e---f---gh--g---hhgf--gh---h---h---h--g--hk-kj---h--hg---hjhg-hg---fe--fg--g--g,,,
,,Cum esset desponsata mater,002000,8,,,F-Pn lat. 12044,B,007r,,,,feast_1765,genre_a,office_l,,,,Cum esset desponsata mater Jesu Maria Joseph antequam convenirent inventa est in utero habens quod enim in ea natum est de spiritu sancto est alleluia,,g---gf-fd--efg---g--gh--hg--f---f--hk---kj--h---h--h--hg---fg--g---f--hk--kl---lkk--hkj--ghgf--f---f--gh--h---hk-kj---h---ghg--fe--fgf---g--g---g---gf-fd--dfe---fg---ghg--g---hihg--fg---g---h---h--g--hki---h--gh---hihghg---fe--fg--g--g,,,
,,Cum esset desponsata mater,002000,8,,,F-Pn lat. 15181,B,140v,,,,feast_1765,genre_a,office_l,,,,Cum esset desponsata mater Jesu Maria Joseph antequam convenirent inventa est in utero habens quod enim in ea natum est de spiritu sancto est alleluia,,g---gfd--efg---g--gh--hg--f---f--hk---kj--hg---h--h--hg---fg--g---f--hk--kl---kj--hk-kg--hgf--f---f--gh--hg---hk-kj---h---hg--fe--fgf---g--g---g---gfd--fe---fg---g--gh---hihgf--gh---h---h---h--g--hkihg---g--gh---hihg-hg---fe--fg--g--g,,,
,,Cum esset desponsata mater,002000,8,,,NL-Uu 406,M,021r,,,,feast_1202,genre_a,office_v,,,,Cum esset desponsata mater Jesu Maria Joseph antequam convenirent inventa est in utero habens quod enim in ea natum est de spiritu sancto est alleluia,,g---gfd--efg---g--gh--hg--f---g--hg---gkkj--hg---h--hg--hg---fg--g---g--hhhk--kl---lkk--hk--ghgf--f---f--gh--hg---gkkj---h---ghgf--e--fgf---g--g---g---gfd--dfe---fg---gh--g---ghgf--gh---h---h---h--g--gkjhg---g--gh---hkhg-hg---e--fg--g--g,,,
,,Dum ortus fuerit sol de celo ,002642,,,,CZ-Pu I D 20,2,014r,,,,feast_1765,genre_a,office_v,,,,Dum ortus fuerit sol de celo videbitis regem regum procedentem a patre tamquam sponsum de thalamo suo,,gd---f-gh--g---gh--g--g---h---g---h--g---f--h--g--f---g--h---h-jkg--g---f--gh--h--gh-g-f---hg-hih---g--g---g--g---fe--f---c---ff--gh--h---g--g,,,
,,Et ambulabunt gentes in lumine tuo ,006882a,,,,CZ-Pu XVII E 1,2,027v,,,,feast_1765,genre_v,office_v,,,,Et ambulabunt gentes in lumine tuo et reges in splendore ortus tui,,k---k--k--k--klk-kh-jh---kl--k---k---kh--hl--hk---kj-klkl--lj---f---h--k---k---k--kl--k---kh--kl---kj-klk-hj--jh,,,
,,Gaude et laetare Jerusalem,201896,8,,,NL-Uu 406,3,020v,,,,feast_1202,genre_a,office_v,,,,Gaude et laetare Jerusalem ecce rex tuus venit de quo prophetae praedixerunt quem angeli adoraverunt quem cherubim et seraphim sanctus sanctus sanctus proclamant,,gd--fg---g---g--gh--g---gf--fgh--fed--dddf---c--d---f---fg--g---h--gf---f---hg---gk--kkj--hg---fe--fgf--g--g---g---gh--h--h---h-hg--fe--fgf--g--g---f---g--f--g---h---k--k--jkhg---hkg--h---hg--hg---fec--f---gh--h--g,,,
,,Gaude et laetare*,201896,,,,CZ-PLm 504 C 004,,009v,,,,,genre_a,office_v,,,,Gaude et laetare*,,gf--f---f---f--gh--g,,,
,,Gaude et laetare*,201896,8,,,NL-Uu 406,N,021v,,,,feast_1202,genre_a,office_c,,,,Gaude et laetare*,,gd--fg---g---g--gh--g,,,
,,Gaude et letare Ierusalem ecce rex ,201896,,,,CZ-Pn XV A 10,,007r,,,,feast_0390,genre_a,office_v,,,,Gaude et letare Ierusalem ecce rex ,,hg--g---g---f--gh--g---gf--f-gh--f-e-d--df---c--d---e---fg--g---h--gf--f---f---hg---hk--kj--hg---fe--fgf--g--g---g---g--g--gh---hg--fe--fgf--g--g---g--g---g--f--g---h---k--k--jk-j-h-g---g-hk--h---h--hg---f--f---gh--h--g,,,
,,Gaude et letare Ierusalem ecce rex ,201896,,,,CZ-Pu I D 20,3,014r,,,,feast_1765,genre_a,office_v,,,,Gaude et letare Ierusalem ecce rex tuus venit de quo prophetae predixerunt quem angeli adoraverunt quem cherubim et seraphim sanctus sanctus sanctus proclamant,,gd--fg---g---g--gh--g---gf--g-h-j--f-e-d--df---c--d---e---fg--g---h--gf---h---hg---hj--kj--hg---fe--fgf--g--g---g---g--f--gh---hg--fe--fgf--g--g---g---g--f--g---h---k--k--jk-j-h-g---g-h-k--h---h--hg---f--f---gh--h--g,,,
,,Gaude et letare Iherusalem ecce rex ,201896,,,,A-VOR Cod. 259/I,,070r,,,,feast_1765,genre_a,office_v,,,,Gaude et letare Iherusalem ecce rex ,,g-f-e--f---f---f--gh--g---gf--f-gh--f-e-d--df---c--d---e---fg--g---h--gf--f---f---hg---hk--kj--hg---fe--fgf--g--g---g---g--g--gh---hg--fe--fgf--g--g---f--f---g--f--g---h---k--k--jk-j-h-g---g-hk--h---h--hg---f--f---gh--h--g,,,
,,Gaude et letare Iherusalem ecce rex ,201896,,,,CZ-HKm II A 4,,001r,,,,feast_0390,genre_a,office_v,,,,Gaude et letare Iherusalem ecce rex ,,gf--f---f---f--gh--g---gf--f-gh--f-e-d--df---c--d---f---fg--g---h--gf--f---f---hg---hk--kj--hg---fe--fgf--g--g---g---g--g--gh---hg--fe--fgf--g--g---g--g---g--f--g---h---k--k--jk-h-g---g-hk--h---h--hg---f--f---gh--h--g,,,
,,Gaude et letare Iherusalem ecce rex ,201896,,,,CZ-Pu XIV A 19,,001r,,,,feast_0390,genre_a,office_v,,,,Gaude et letare Iherusalem ecce rex ,,gge--f---f---f--gh--g---gf--f--gh-f-e-d--df---c--d---e---fg--g---h--gf--f---f---hg---hk--kj--hg---fe--fgf--g--g---g---g--g--gh---hg--fe--fgf--g--g---f--f---g--f--g---h---k--k--jk-j-h-g---g-hk-k--h---h--hg---ffd--f---gh--h--g,,,
,,Gaude et letare Iherusalem ecce rex ,201896,,,,CZ-Pu XXIII A 2,,002r,,,,feast_0390,genre_a,office_v,,,,Gaude et letare Iherusalem ecce rex ,,gf--f---f---f--gh--g---g--f--f-gh--f-e-d--d-f---c--d---f---fg--g---h--gf--f---f---hg---hk--kj--hg---fe--fgf--g--g---g---g--g--gh---hg--fe--fgf--g--g---g--g---g--f--g---h---k--k--jkhhg---g-hk--h---h--hg---f--f---gh--h--g,,,
,,Gaude et letare Iherusalem quia rex ,201896,,,,CZ-Pn XII A 24,6,029r,,,,feast_1765,genre_a,office_v,,,,Gaude et letare Iherusalem quia rex tuus venit de quo prophete predixerunt quem angeli adoraverunt cui cherubyn et seraphyn sanctus sanctus sanctus proclamant,,gg--f---g---g--gh--g---gf--f-gh--f-e-d--df---c--d---e---fg--g---h--gf---g---hg---hk--kj--hg---fe--fg--g--g---g---g--g--gh---hg--fe--fgf--g--g---g--g---g--f--g----h---k--k--jkhg---g-hkk--h---h--hg---ff--f---gh--h--g,,,
,,Gloria patri et filio et ,007040b,,,,US-HA Rauner Codex MS 003203,02,070v,,,,feast_0227,genre_v,office_m,,,,Gloria patri et filio et spiritui sancto,,k--k-j--k-l-k-j-h-g-h-h-g---j-h--j-k---h-j---g--g-h-j-h--h-g---g---g--h-j-h-g-h-j-h--g-f--g-h---h-k-k-l-k-j-h--h-j-h-g-h-g------j-k-l-j,,,
,,Gloria patri et filio et ,007040b,1,,,"CH-ROM FiD 1, flyleaves (fragment)",02,002v,,,,feast_0212,genre_v,office_m,,,,Gloria patri et filio et spiritui sancto,,h--gh--gfe-ed---gh--h---hkl---lh-kjhg-gf--gh--h---h---h--hgfee--d--efd---cd--d------hhkgfed---d--fdfgh--dffd--d,,,
,,Gloria patri et filio et ,007040b,1,,,"F-Pnm NAL 2444, ff.53-55 (fragment)",02,055v,,,,feast_0983,genre_v,office_m,,,,Gloria patri et filio et spiritui sancto,,h--h--hghggf---hf--gh---gh---h--hjh--h---h---h--hghg--gf--fgh---hgfegh--gf------e---g--h---h--hk,,,
,,Gloria patri et filio et ,007040b,1,,,CDN-Private-uhiz,02,001v,,,,feast_0493,genre_v,office_v,,,,Gloria patri et filio et spiritui sancto,,gkhg-hjg-fgh-kkhg-hjgf-ghfd-efdc-df-fg-hjkjh--gh--gf---gh--h---hjkj---gh--hjh--h---h---h--hghg--ge--fg---gf-fed--dfdc-dfgf------cd---fgfed,,,
,,Gloria patri et filio et ,007040b,1,,,F-Pnm Lat.11411 ff.37-38 (fragment),02,037r,,,,feast_1194,genre_v,office_m,,,,Gloria patri et filio et spiritui sancto,,dh-hj--hgf-gfed--cd---fg--h---hg---hhgf--g--h---f---gf--ghf--ed--c---cdf-fgh-hfgfed--cdc,,,
,,Gloria patri et filio et ,007040b,2,,,USA-Phpc D-0zgch (fragment),02,001v,,,,feast_0445,genre_v,office_v,,,,Gloria patri et filio et spiritui sancto,,cdf--fg--f---fe--fg---ef---d--defe--ed---d---d--defedc--d--fefgf---fede--d-dc------cd,,,
,,Gloria patri et filio et ,007040b,4,,,F-Pnm NAL 2482 ff. 7-16 (fragment),02,016r,,,,feast_1125,genre_v,office_m,,,,Gloria patri et filio et spiritui sancto,,h--gh--gf-fghg-hgfe---dhf--h---h---h--fhd--fh---hd---f--f--gh--gf---ef--ed,,,
,,Gloria patri et filio et ,007040b,7,,,"CH-ROM FiD 1, flyleaves (fragment)",02,002r,,,,feast_0212,genre_v,office_m,,,,Gloria patri et filio et spiritui sancto,,hk--kj--jg---jh--jk---hj---g--ghjh--hg---f---h--k--j--h---klk-ljk-hgfg--gh-hg------gffd-ed-dc,,,
,,Gloria patri et filio et spiritui ,007040b,,,,CZ-Pu I D 20,7,014r,,,,feast_1765,genre_v,office_v,,,,Gloria patri et filio et spiritui sancto,,dh--h--g-f-e---df--ghg---hk---h--gf--gh---g---df--efg--fe--d---fg--hf-egf-dec-de,,,
,,Hodie scietis,001084,,,,CH-SG 545,1,044rv,,,,feast_1202,genre_i,office_m,,,,Hodie scietis quia veniet dominus et mane videbitis gloriam eius.,,df--f--f---f--f--f--f--f--f--fd--df--g--gf--ghgh--g,,,
,,Illuminare illuminare Ierusalem venit lux tua ,006882,,,,CZ-Pu XVII E 1,1,026v,,,,feast_1765,genre_r,office_v,,,,Illuminare illuminare Ierusalem venit lux tua et gloria domini super te orta est,,f--f--gh--h-g-ffg--gf---f--f--gh--h-kl-k-j-klkl--lk---kl--l-k-j-h-g--h-jkhj--jh---kh-kgh-g-fg-f-h-kl--kj---ln---lk--klk-khjh---k---lk--ln--nk-kh---kh-jk--g-hj-h-g-fg--gf---f--f---h---f--f-gh-g-fg---gf,,,
,,Iudea et Hierusalem nolite timere cras ,003511,,,,CZ-OLu M IV 6,,010v,,,,feast_1765,genre_a,office_l,,,,Iudea et Hierusalem nolite timere cras ,,g--g--gd---e---f--gh--h--g---g--g--hj---gh--hg--f---kkj---hg--l--k--j--hg--g---g---gh--fe--d---ef--fh---h--g--gd---f--h--g--g,,,
,,Iudea et Hierusalem nolite timere cras ,003511,,,,CZ-Pu I D 20,12,013r,,,,feast_1765,genre_a,office_l,,,,Iudea et Hierusalem nolite timere cras egrediemini et dominus erit vobiscum alleluia,,g--g--g-f-e-d---f---f--gh--h--g---g--g--hk---g--,,,
